solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Llama3-3B-Base,0.000000,0.000000,0.250000,0.285714,0.571429,0.600000,0.800000,0.888889,0.888889,0.888889,0.888889,0.222222,0.000000,0.000000,0.285714,0.666667,0.666667,0.600000,0.250000,0.166667,0.600000,0.750000,0.888889,0.727273,0.888889,0.000000,0.000000,0.000000,0.000000,0.000000,0.222222,0.571429,0.800000,0.333333,0.888889,0.888889,0.800000
Llama3-8B-Base,0.000000,0.500000,0.571429,0.571429,0.750000,0.666667,0.666667,0.750000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000,0.500000,0.285714,0.750000,0.571429,0.285714,0.600000,0.666667,0.750000,0.750000,0.666667,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.750000,0.666667,0.500000,0.666667,0.750000
Llama3-70B-Base,0.000000,0.666667,0.615385,0.571429,0.588235,0.761905,0.750000,0.782609,0.818182,0.818182,0.900000,0.000000,0.000000,0.250000,0.588235,0.705882,0.470588,0.761905,0.600000,0.705882,0.700000,0.636364,0.782609,0.782609,0.720000,0.000000,0.000000,0.000000,0.000000,0.333333,0.571429,0.588235,0.666667,0.555556,0.666667,0.782609,0.782609
Llama3-1B,0.084507,0.244898,0.698795,0.738462,0.812500,0.845638,0.844444,0.961240,0.961240,0.976378,0.944882,0.133333,0.000000,0.461538,0.628099,0.757143,0.843750,0.873016,0.382979,0.670520,0.748538,0.808824,0.867647,0.920635,0.921875,0.000000,0.000000,0.000000,0.000000,0.428571,0.539130,0.673267,0.916031,0.788321,0.909091,0.953846,0.953846
Llama3-3B,0.095238,0.648837,0.886682,0.891821,0.889454,0.921903,0.946043,0.974707,0.977667,0.982021,0.982088,0.408676,0.545455,0.660571,0.796322,0.889177,0.916049,0.921182,0.753585,0.860025,0.892290,0.900000,0.931981,0.945586,0.967425,0.000000,0.000000,0.000000,0.000000,0.468571,0.613527,0.760345,0.943373,0.921604,0.955043,0.974359,0.979742
Llama3-8B,0.150519,0.564390,0.924988,0.915588,0.900391,0.936847,0.961039,0.972313,0.972948,0.976984,0.976570,0.403361,0.631579,0.616740,0.790277,0.912871,0.932084,0.937853,0.704289,0.888778,0.925532,0.925657,0.941924,0.948858,0.962687,0.000000,0.000000,0.000000,0.000000,0.472527,0.645795,0.772432,0.942976,0.933769,0.954044,0.967981,0.970820
Llama3-70B,0.135440,0.600190,0.971286,0.950880,0.931356,0.959383,0.975060,0.979049,0.983593,0.977025,0.980723,0.408602,0.750000,0.620313,0.781586,0.949573,0.962388,0.960499,0.691974,0.955414,0.971246,0.968209,0.972778,0.977191,0.975531,0.000000,0.000000,0.000000,0.000000,0.366492,0.685441,0.763062,0.962241,0.953999,0.975942,0.977600,0.980032
DeepSeek-1.5B,0.279110,0.875657,0.875181,0.885557,0.887089,0.883552,0.892207,0.907914,0.899147,0.923001,0.924227,0.135000,0.555556,0.544102,0.854120,0.849445,0.882969,0.900529,0.683973,0.842916,0.891071,0.883742,0.906604,0.912214,0.928814,0.000000,0.000000,0.000000,0.000000,0.517241,0.778139,0.856153,0.904995,0.877912,0.896353,0.916185,0.913424
DeepSeek-7B,0.425220,0.944091,0.937636,0.942529,0.939608,0.946716,0.947020,0.931964,0.916955,0.946309,0.950420,0.194757,0.503937,0.601411,0.915758,0.892925,0.940142,0.937526,0.722121,0.906481,0.935258,0.942869,0.942053,0.948675,0.954281,0.000000,0.000000,0.000000,0.000000,0.646067,0.842206,0.904902,0.942616,0.899034,0.945957,0.955000,0.949053
DeepSeek-14B,0.379944,0.958186,0.955061,0.965459,0.958784,0.965846,0.963846,0.951915,0.946765,0.968286,0.961259,0.198964,0.500000,0.609492,0.932821,0.918584,0.963971,0.961709,0.761820,0.934470,0.958816,0.965981,0.965981,0.967155,0.970273,0.000000,0.000000,0.000000,0.000000,0.585774,0.880577,0.910208,0.961538,0.922883,0.959742,0.968949,0.963410
DeepSeek-32B,0.382210,0.966150,0.961363,0.972500,0.967691,0.968910,0.967258,0.955092,0.950303,0.967460,0.965408,0.161749,0.521127,0.615008,0.940894,0.933505,0.969889,0.968127,0.777778,0.942982,0.964836,0.969436,0.967767,0.971003,0.970958,0.000000,0.000000,0.000000,0.000000,0.645161,0.876505,0.933892,0.960761,0.926606,0.966390,0.971631,0.963932
