solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.004658,0.022516,0.024845,0.014752,0.009317,0.010093,-0.000776,0.004658,0.010093,0.010093,0.037267,0.025621
Qwen3-1.7B,0.000768,0.000768,0.003072,-0.008449,0.000000,0.002304,-0.001536,0.000768,0.003072,-0.001536,0.001536,0.002304
Qwen3-4B,0.000765,0.002295,-0.000765,0.000765,0.002295,0.000000,0.005356,0.000765,0.000000,-0.000765,0.001530,0.000000
Qwen2.5-0.5B,0.140239,0.215139,0.279681,0.019920,0.022311,0.046215,-0.010359,0.050996,0.109163,0.168924,0.217530,0.278884
Qwen2.5-1.5B,0.057383,0.111706,0.164499,0.028309,0.019893,0.013007,0.026779,0.041316,0.057383,0.087988,0.120122,0.155318
Qwen2.5-3B,0.019727,0.030349,0.060698,0.003794,0.010622,0.002276,0.006829,0.008346,0.015933,0.022762,0.041730,0.055387
Llama3-1B,0.104167,0.159722,0.159722,0.076389,0.041667,0.048611,-0.034722,0.069444,0.055556,0.090278,0.152778,0.152778
Llama3-3B,0.059104,0.093422,0.148713,0.025739,0.013346,0.040038,0.006673,0.044805,0.048618,0.072450,0.114395,0.129647
Llama3-8B,0.045310,0.071542,0.093005,0.016693,0.016693,0.020668,0.007949,0.015103,0.019873,0.048490,0.077901,0.082671
DeepSeek-1.5B,0.022848,0.037319,0.082254,0.016756,0.004570,0.013709,0.009139,0.025133,0.040366,0.022087,0.054075,0.063214
DeepSeek-7B,0.017530,0.015244,0.028963,0.019055,0.005335,0.001524,0.019817,0.004573,0.014482,0.008384,0.016006,0.026677
DeepSeek-14B,0.002281,0.003802,0.012928,0.005323,0.005323,0.000760,0.003042,0.003802,0.004563,0.005323,0.006844,0.009125
