solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.017668,0.038869,0.003534,0.021201,0.010601,0.010601,-0.042403,0.003534,-0.003534,-0.007067,0.021201,0.017668
Qwen3-1.7B,0.005602,-0.005602,0.002801,-0.019608,0.000000,0.000000,-0.005602,-0.002801,0.000000,-0.011204,-0.005602,0.000000
Qwen3-4B,0.000000,0.004706,0.000000,0.004706,0.000000,0.000000,0.004706,0.002353,0.000000,0.002353,0.002353,0.000000
Qwen2.5-0.5B,0.022379,0.023557,0.030624,0.001178,0.002356,0.002356,0.000000,0.003534,0.000000,0.017668,0.029446,0.031802
Qwen2.5-1.5B,0.049718,0.087006,0.106215,0.002260,0.014689,0.003390,0.009040,0.014689,0.020339,0.081356,0.085876,0.102825
Qwen2.5-3B,0.048232,0.097535,0.132905,-0.005359,-0.011790,0.005359,-0.011790,0.012862,0.025723,0.057878,0.093248,0.115756
Llama3-1B,0.033206,0.037037,0.068966,-0.001277,0.006386,-0.005109,0.005109,0.001277,0.008940,0.017880,0.047254,0.070243
Llama3-3B,0.061033,0.134977,0.204225,0.014085,0.015258,0.005869,0.017606,0.014085,0.028169,0.083333,0.137324,0.197183
Llama3-8B,0.045649,0.134094,0.175464,0.019971,0.012839,0.004280,0.031384,0.018545,0.031384,0.092725,0.128388,0.158345
DeepSeek-1.5B,0.007576,0.010101,0.002525,0.040404,0.002525,-0.002525,0.047980,0.000000,0.002525,0.027778,0.017677,0.005051
DeepSeek-7B,-0.001795,-0.001795,0.001795,-0.007181,0.000000,0.000000,-0.014363,-0.001795,0.000000,0.003591,0.000000,0.000000
DeepSeek-14B,-0.005051,0.000000,-0.003367,-0.011785,0.001684,-0.003367,-0.011785,-0.005051,0.000000,0.005051,0.001684,0.000000
