solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,-0.002540,-0.005080,0.008467,-0.020322,-0.001693,-0.000847,-0.005080,0.018628,0.029636,-0.009314,-0.000847,0.015241
Qwen3-1.7B,-0.005872,-0.007550,-0.001678,0.004195,-0.002517,-0.001678,0.005872,0.000000,0.010906,-0.003356,0.000839,0.001678
Qwen3-4B,0.000820,0.002459,0.002459,0.011475,0.001639,-0.000820,0.002459,-0.001639,0.008197,0.006557,-0.002459,0.004098
Qwen2.5-0.5B,0.014925,0.092040,0.171642,0.007463,-0.002488,0.029851,-0.042289,0.044776,0.004975,-0.027363,0.034826,0.189055
Qwen2.5-1.5B,0.023188,0.069565,0.133333,0.023188,-0.005797,0.017391,-0.020290,0.052174,0.055072,0.011594,0.034783,0.092754
Qwen2.5-3B,0.019027,0.029598,0.052854,0.008457,0.033827,0.004228,-0.014799,0.006342,0.035941,0.002114,0.010571,0.038055
Llama3-1B,0.029851,0.104478,0.164179,-0.003731,0.014925,0.041045,-0.052239,0.033582,0.029851,0.018657,0.037313,0.123134
Llama3-3B,0.009074,0.033575,0.107985,-0.016334,-0.002722,0.006352,-0.010889,0.001815,0.024501,0.015426,0.019056,0.054446
Llama3-8B,0.015748,0.026575,0.053150,0.005906,0.002953,0.010827,0.000000,0.011811,0.010827,0.010827,0.007874,0.031496
DeepSeek-1.5B,-0.047619,-0.047619,0.095238,0.000000,0.095238,0.047619,-0.047619,0.095238,0.095238,-0.047619,0.000000,0.047619
DeepSeek-7B,0.000000,0.000000,0.000000,0.045455,-0.045455,0.000000,0.045455,0.000000,-0.045455,0.000000,0.000000,0.000000
DeepSeek-14B,-0.008646,0.011527,0.002882,0.020173,0.005764,0.008646,0.014409,0.011527,0.000000,0.002882,0.005764,-0.005764
